"MeshBlock","Count","AreaUnit","TerritorialAuthority","DHB"
44702,0,"Waihou Valley-Hupara","Far North District","Northland"
44801,1,"Kapiro","Far North District","Northland"
44804,0,"Kerikeri","Far North District","Northland"
44808,0,"Kerikeri","Far North District","Northland"
44901,0,"Pokere-Waihaha","Far North District","Northland"
45000,0,"Pokere-Waihaha","Far North District","Northland"
45100,0,"Pokere-Waihaha","Far North District","Northland"
45200,0,"Pokere-Waihaha","Far North District","Northland"
45400,0,"Pokere-Waihaha","Far North District","Northland"
45500,0,"Pokere-Waihaha","Far North District","Northland"
45600,0,"Pokere-Waihaha","Far North District","Northland"
45902,0,"Pokere-Waihaha","Far North District","Northland"
46002,0,"Pokere-Waihaha","Far North District","Northland"
46500,0,"Pokere-Waihaha","Far North District","Northland"
46700,0,"Pokere-Waihaha","Far North District","Northland"
47400,0,"Ngapuhi-Kaikou","Far North District","Northland"
47500,0,"Ngapuhi-Kaikou","Far North District","Northland"
47603,0,"Pokere-Waihaha","Far North District","Northland"
47901,0,"Pokere-Waihaha","Far North District","Northland"
48101,0,"Bay of Islands","Far North District","Northland"
48203,0,"Pokere-Waihaha","Far North District","Northland"
48204,0,"Pokere-Waihaha","Far North District","Northland"
48205,0,"Pokere-Waihaha","Far North District","Northland"
48301,0,"Bay of Islands","Far North District","Northland"
48303,0,"Pokere-Waihaha","Far North District","Northland"
48304,0,"Pokere-Waihaha","Far North District","Northland"
48404,0,"Pokere-Waihaha","Far North District","Northland"
48409,3,"Pokere-Waihaha","Far North District","Northland"
48500,0,"Pokere-Waihaha","Far North District","Northland"
49204,0,"Waitangi","Far North District","Northland"
49206,0,"Waitangi","Far North District","Northland"
49302,0,"Kerikeri","Far North District","Northland"
49406,0,"Kerikeri","Far North District","Northland"
49407,0,"Kerikeri","Far North District","Northland"
49502,1,"Kerikeri","Far North District","Northland"
49505,0,"Kerikeri","Far North District","Northland"
49506,0,"Kerikeri","Far North District","Northland"
49600,0,"Kerikeri","Far North District","Northland"
49700,0,"Kerikeri","Far North District","Northland"
49801,0,"Waihou Valley-Hupara","Far North District","Northland"
49802,0,"Waitangi","Far North District","Northland"
49905,0,"Kerikeri","Far North District","Northland"
50001,0,"Kerikeri","Far North District","Northland"
50002,0,"Waitangi","Far North District","Northland"
50003,0,"Waitangi","Far North District","Northland"
50201,0,"Waitangi","Far North District","Northland"
50303,0,"Haruru Falls","Far North District","Northland"
50304,0,"Haruru Falls","Far North District","Northland"
50306,1,"Haruru Falls","Far North District","Northland"
50309,0,"Haruru Falls","Far North District","Northland"
50310,0,"Haruru Falls","Far North District","Northland"
50311,0,"Haruru Falls","Far North District","Northland"
50400,0,"Haruru Falls","Far North District","Northland"
50605,0,"Waihou Valley-Hupara","Far North District","Northland"
50701,0,"Haruru Falls","Far North District","Northland"
50705,0,"Haruru Falls","Far North District","Northland"
50804,0,"Waihou Valley-Hupara","Far North District","Northland"
50805,1,"Waihou Valley-Hupara","Far North District","Northland"
50806,0,"Haruru Falls","Far North District","Northland"
51201,1,"Opua East","Far North District","Northland"
51202,0,"Opua East","Far North District","Northland"
51300,0,"Opua East","Far North District","Northland"
51401,0,"Opua West","Far North District","Northland"
51403,0,"Opua West","Far North District","Northland"
51406,0,"Paihia","Far North District","Northland"
51408,1,"Paihia","Far North District","Northland"
51501,0,"Opua West","Far North District","Northland"
51502,0,"Opua East","Far North District","Northland"
51504,0,"Opua East","Far North District","Northland"
51507,0,"Waihou Valley-Hupara","Far North District","Northland"
51700,0,"Waihou Valley-Hupara","Far North District","Northland"
51800,0,"Waihou Valley-Hupara","Far North District","Northland"
52001,0,"Moerewa","Far North District","Northland"
52002,0,"Moerewa","Far North District","Northland"
52100,0,"Moerewa","Far North District","Northland"
52200,0,"Moerewa","Far North District","Northland"
52300,0,"Moerewa","Far North District","Northland"
52400,0,"Moerewa","Far North District","Northland"
52501,0,"Moerewa","Far North District","Northland"
52700,0,"Moerewa","Far North District","Northland"
52800,0,"Moerewa","Far North District","Northland"
52902,0,"Kerikeri","Far North District","Northland"
52907,0,"Kerikeri","Far North District","Northland"
53003,0,"Kerikeri","Far North District","Northland"
53101,0,"Kerikeri","Far North District","Northland"
53102,0,"Kerikeri","Far North District","Northland"
53200,0,"Kerikeri","Far North District","Northland"
53301,0,"Kerikeri","Far North District","Northland"
53303,0,"Kerikeri","Far North District","Northland"
53304,0,"Kerikeri","Far North District","Northland"
53305,0,"Kerikeri","Far North District","Northland"
53403,0,"Kerikeri","Far North District","Northland"
53404,0,"Kerikeri","Far North District","Northland"
53405,0,"Kerikeri","Far North District","Northland"
53406,1,"Kerikeri","Far North District","Northland"
53407,0,"Kerikeri","Far North District","Northland"
53502,0,"Kerikeri","Far North District","Northland"
53503,0,"Kerikeri","Far North District","Northland"
53504,0,"Kerikeri","Far North District","Northland"
53506,0,"Kerikeri","Far North District","Northland"
53508,0,"Kerikeri","Far North District","Northland"
53700,0,"Paihia","Far North District","Northland"
53800,1,"Paihia","Far North District","Northland"
53900,0,"Paihia","Far North District","Northland"
54000,0,"Paihia","Far North District","Northland"
54200,0,"Paihia","Far North District","Northland"
54300,0,"Paihia","Far North District","Northland"
54400,1,"Paihia","Far North District","Northland"
54501,0,"Paihia","Far North District","Northland"
54502,0,"Paihia","Far North District","Northland"
54600,0,"Paihia","Far North District","Northland"
54700,0,"Paihia","Far North District","Northland"
54801,0,"Paihia","Far North District","Northland"
54802,1,"Paihia","Far North District","Northland"
54900,1,"Moerewa","Far North District","Northland"
55000,0,"Moerewa","Far North District","Northland"
55100,0,"Moerewa","Far North District","Northland"
55200,1,"Moerewa","Far North District","Northland"
55400,0,"Moerewa","Far North District","Northland"
55500,0,"Moerewa","Far North District","Northland"
55600,0,"Moerewa","Far North District","Northland"
55700,0,"Moerewa","Far North District","Northland"
55801,1,"Moerewa","Far North District","Northland"
55802,0,"Moerewa","Far North District","Northland"
55900,0,"Moerewa","Far North District","Northland"
56001,0,"Moerewa","Far North District","Northland"
56002,0,"Moerewa","Far North District","Northland"
56100,0,"Moerewa","Far North District","Northland"
56300,0,"Russell","Far North District","Northland"
56400,2,"Russell","Far North District","Northland"
56500,0,"Russell","Far North District","Northland"
56700,0,"Russell","Far North District","Northland"
56800,0,"Russell","Far North District","Northland"
56900,0,"Russell","Far North District","Northland"
57000,0,"Russell","Far North District","Northland"
57100,0,"Russell","Far North District","Northland"
57201,0,"Russell","Far North District","Northland"
57202,0,"Russell","Far North District","Northland"
57300,1,"Kawakawa","Far North District","Northland"
57400,0,"Kawakawa","Far North District","Northland"
57500,0,"Kawakawa","Far North District","Northland"
57700,0,"Kawakawa","Far North District","Northland"
57800,0,"Kawakawa","Far North District","Northland"
57900,0,"Kawakawa","Far North District","Northland"
58100,0,"Kawakawa","Far North District","Northland"
58200,0,"Kawakawa","Far North District","Northland"
58300,0,"Kawakawa","Far North District","Northland"
58400,0,"Kawakawa","Far North District","Northland"
58500,0,"Kawakawa","Far North District","Northland"
58600,1,"Kawakawa","Far North District","Northland"
58700,0,"Kawakawa","Far North District","Northland"
58800,1,"Kawakawa","Far North District","Northland"
59000,0,"Inlet-Bay of Islands","Far North District","Northland"
59301,0,"Punaruku-Kiripaka","Whangarei District","Northland"
59400,0,"Punaruku-Kiripaka","Whangarei District","Northland"
59500,0,"Punaruku-Kiripaka","Whangarei District","Northland"
59600,0,"Punaruku-Kiripaka","Whangarei District","Northland"
59700,0,"Punaruku-Kiripaka","Whangarei District","Northland"
59800,0,"Punaruku-Kiripaka","Whangarei District","Northland"
60000,0,"Punaruku-Kiripaka","Whangarei District","Northland"
60200,0,"Punaruku-Kiripaka","Whangarei District","Northland"
60300,0,"Punaruku-Kiripaka","Whangarei District","Northland"
60400,0,"Punaruku-Kiripaka","Whangarei District","Northland"
60500,0,"Punaruku-Kiripaka","Whangarei District","Northland"
60600,0,"Punaruku-Kiripaka","Whangarei District","Northland"
60700,0,"Punaruku-Kiripaka","Whangarei District","Northland"
60800,0,"Punaruku-Kiripaka","Whangarei District","Northland"
60900,1,"Punaruku-Kiripaka","Whangarei District","Northland"
61000,0,"Punaruku-Kiripaka","Whangarei District","Northland"
61200,0,"Punaruku-Kiripaka","Whangarei District","Northland"
